;date;planning_method
0;2025/02/17 00:40:00;1
1;2025/03/08 03:40:00;1
2;2025/03/16 11:10:00;1
3;2025/05/11 08:00:00;1
4;2025/11/05 00:40:00;1
5;2025/11/05 03:30:00;1
6;2025/11/09 01:30:00;1
7;2025/11/16 00:50:00;1
8;2025/11/19 09:10:00;1
9;2025/11/23 00:30:00;1
10;2025/11/26 00:40:00;1
11;2025/11/27 17:50:00;1
12;2025/12/04 15:00:00;1
13;2025/12/14 01:00:00;1
14;2025/12/24 00:50:00;1
15;2025/12/29 00:40:00;1
16;2025/12/29 18:50:00;1
17;2025/12/31 00:50:00;1
18;2026/01/02 00:30:00;1
19;2026/01/07 00:20:00;1
20;2026/03/19 00:30:00;1
21;2026/04/21 13:40:00;1
22;2026/04/23 00:20:00;1
23;2026/09/14 01:00:00;1
24;2026/11/02 15:10:00;1
25;2026/11/02 19:40:00;1
26;2026/11/04 01:00:00;1
27;2026/11/05 00:50:00;1
28;2026/11/06 01:10:00;1
29;2026/11/06 20:20:00;1
30;2026/11/07 01:30:00;1
31;2026/11/09 10:50:00;1
32;2026/11/09 11:20:00;1
33;2026/11/09 22:20:00;1
34;2026/11/10 11:10:00;1
35;2026/11/10 11:40:00;1
36;2026/11/11 01:30:00;1
37;2026/11/11 07:10:00;1
38;2026/11/11 11:30:00;1
39;2026/11/12 01:50:00;1
40;2026/11/12 04:50:00;1
41;2026/11/12 07:30:00;1
42;2026/11/13 07:50:00;1
43;2026/11/14 08:10:00;1
44;2026/11/16 04:40:00;1
45;2026/11/18 00:20:00;1
46;2026/11/19 01:00:00;1
47;2026/11/20 01:20:00;1
48;2026/11/24 00:20:00;1
49;2026/11/24 05:40:00;1
50;2026/11/24 17:20:00;1
51;2026/11/25 00:30:00;1
52;2026/11/26 00:50:00;1
53;2026/11/26 09:20:00;1
54;2026/11/26 20:20:00;1
55;2026/11/26 22:00:00;1
56;2026/11/27 01:10:00;1
57;2026/11/27 17:10:00;1
58;2026/11/27 20:40:00;1
59;2026/11/27 22:20:00;1
60;2026/11/28 01:30:00;1
61;2026/11/28 21:00:00;1
62;2026/11/30 00:30:00;1
63;2026/12/01 00:50:00;1
64;2026/12/17 01:00:00;1
65;2026/12/17 17:10:00;1
66;2026/12/18 00:20:00;1
