;date;planning_method
0;2025/02/10 08:40:00;2
1;2025/02/12 00:30:00;2
2;2025/02/12 02:50:00;2
3;2025/02/18 11:30:00;2
4;2025/03/26 06:40:00;2
5;2025/04/16 00:50:00;2
6;2025/04/22 18:30:00;2
7;2025/04/23 00:30:00;2
8;2025/04/23 00:50:00;2
9;2025/06/22 00:40:00;2
10;2025/06/25 00:30:00;2
11;2025/07/03 00:30:00;2
12;2025/07/21 07:30:00;2
13;2025/10/12 10:00:00;2
14;2025/11/12 23:00:00;2
15;2025/11/22 08:00:00;2
16;2025/11/23 07:40:00;2
17;2025/11/23 09:10:00;2
18;2025/11/24 00:30:00;2
19;2025/11/25 00:30:00;2
20;2025/11/25 04:40:00;2
21;2025/11/25 23:20:00;2
22;2025/11/26 02:40:00;2
23;2025/11/30 21:20:00;2
24;2025/12/02 00:30:00;2
25;2025/12/02 16:50:00;2
26;2025/12/07 09:30:00;2
27;2025/12/08 00:50:00;2
28;2025/12/09 00:30:00;2
29;2025/12/11 00:30:00;2
30;2025/12/11 00:40:00;2
31;2025/12/11 01:00:00;2
32;2025/12/13 01:10:00;2
33;2025/12/17 00:30:00;2
34;2025/12/17 12:00:00;2
35;2025/12/17 14:10:00;2
36;2025/12/20 00:50:00;2
37;2026/01/02 00:30:00;2
38;2026/02/25 13:00:00;2
39;2026/03/04 19:40:00;2
40;2026/03/05 00:40:00;2
41;2026/03/05 08:50:00;2
42;2026/03/06 00:20:00;2
43;2026/03/08 00:40:00;2
44;2026/03/09 00:30:00;2
45;2026/03/30 02:30:00;2
46;2026/03/31 00:50:00;2
47;2026/04/01 00:20:00;2
48;2026/04/14 06:10:00;2
49;2026/04/20 02:30:00;2
50;2026/05/27 00:30:00;2
51;2026/09/15 16:20:00;2
52;2026/11/05 00:20:00;2
53;2026/11/05 00:40:00;2
54;2026/11/06 10:40:00;2
55;2026/11/11 07:10:00;2
56;2026/11/11 11:10:00;2
57;2026/11/11 13:20:00;2
58;2026/11/18 00:30:00;2
59;2026/11/23 00:10:00;2
60;2026/11/26 07:50:00;2
61;2026/12/01 00:30:00;2
62;2026/12/01 17:00:00;2
63;2026/12/02 11:50:00;2
64;2026/12/03 00:40:00;2
65;2026/12/03 00:50:00;2
66;2026/12/04 08:10:00;2
67;2026/12/10 00:30:00;2
68;2026/12/10 00:50:00;2
69;2026/12/10 01:00:00;2
70;2026/12/11 00:50:00;2
71;2026/12/14 01:10:00;2
72;2026/12/21 21:00:00;2
73;2026/12/24 00:30:00;2
74;2026/12/29 07:30:00;2
75;2026/12/29 13:30:00;2
