;date;planning_method
0;2025/02/26 07:00:00;3
1;2025/03/02 00:30:00;3
2;2025/03/03 00:30:00;3
3;2025/04/16 00:50:00;3
4;2025/04/16 10:50:00;3
5;2025/04/16 11:10:00;3
6;2025/07/07 00:50:00;3
7;2025/07/10 00:30:00;3
8;2025/07/23 07:30:00;3
9;2025/07/23 14:30:00;3
10;2025/07/23 14:50:00;3
11;2025/07/25 07:50:00;3
12;2025/07/25 08:10:00;3
13;2025/11/05 04:10:00;3
14;2025/11/11 07:20:00;3
15;2025/11/11 14:30:00;3
16;2025/11/18 00:40:00;3
17;2025/11/18 01:00:00;3
18;2025/11/18 15:50:00;3
19;2025/11/18 16:50:00;3
20;2025/11/18 17:10:00;3
21;2025/11/19 03:20:00;3
22;2025/11/19 15:30:00;3
23;2025/11/21 01:10:00;3
24;2025/11/21 01:30:00;3
25;2025/11/21 01:50:00;3
26;2025/11/21 03:40:00;3
27;2025/11/24 00:40:00;3
28;2025/11/24 02:20:00;3
29;2025/11/24 07:50:00;3
30;2025/11/24 08:10:00;3
31;2025/11/26 04:20:00;3
32;2025/11/26 04:40:00;3
33;2025/11/26 05:00:00;3
34;2025/11/26 05:20:00;3
35;2025/11/26 05:40:00;3
36;2025/11/26 06:00:00;3
37;2025/11/28 01:00:00;3
38;2025/11/28 01:20:00;3
39;2025/11/28 01:40:00;3
40;2025/11/28 02:00:00;3
41;2025/11/30 00:50:00;3
42;2025/11/30 01:10:00;3
43;2025/12/02 00:30:00;3
44;2025/12/02 00:50:00;3
45;2025/12/10 00:30:00;3
46;2025/12/11 08:10:00;3
47;2025/12/16 00:40:00;3
48;2026/02/23 00:30:00;3
49;2026/02/23 01:10:00;3
50;2026/03/04 07:00:00;3
51;2026/03/26 00:30:00;3
52;2026/03/27 00:50:00;3
53;2026/03/27 01:10:00;3
54;2026/04/13 11:20:00;3
55;2026/04/23 00:20:00;3
56;2026/05/24 00:20:00;3
57;2026/05/24 00:40:00;3
58;2026/05/24 01:00:00;3
59;2026/07/08 00:20:00;3
60;2026/08/10 00:30:00;3
61;2026/08/10 00:40:00;3
62;2026/09/15 02:30:00;3
63;2026/11/05 00:50:00;3
64;2026/11/05 05:30:00;3
65;2026/11/11 10:30:00;3
66;2026/11/19 00:30:00;3
67;2026/11/19 00:50:00;3
68;2026/11/19 01:10:00;3
69;2026/11/19 10:00:00;3
70;2026/11/19 10:20:00;3
71;2026/11/19 10:40:00;3
72;2026/11/23 00:30:00;3
73;2026/11/23 01:10:00;3
74;2026/11/23 01:30:00;3
75;2026/11/23 01:50:00;3
76;2026/11/23 02:10:00;3
77;2026/11/23 02:30:00;3
78;2026/11/24 00:30:00;3
79;2026/11/24 00:40:00;3
80;2026/11/24 00:50:00;3
81;2026/11/24 06:10:00;3
82;2026/11/24 16:50:00;3
83;2026/11/24 17:10:00;3
84;2026/11/26 00:40:00;3
85;2026/11/26 01:00:00;3
86;2026/11/26 08:00:00;3
87;2026/11/26 08:30:00;3
88;2026/11/27 23:50:00;3
89;2026/11/28 01:20:00;3
90;2026/11/28 01:40:00;3
91;2026/11/28 02:00:00;3
92;2026/11/28 02:20:00;3
93;2026/11/28 02:40:00;3
94;2026/11/28 03:00:00;3
95;2026/11/28 03:20:00;3
96;2026/11/28 03:40:00;3
97;2026/11/28 04:00:00;3
98;2026/11/28 04:20:00;3
99;2026/11/28 04:40:00;3
100;2026/11/28 05:00:00;3
101;2026/12/02 17:00:00;3
102;2026/12/02 17:20:00;3
103;2026/12/02 17:40:00;3
104;2026/12/03 00:20:00;3
105;2026/12/08 13:50:00;3
106;2026/12/08 14:10:00;3
107;2026/12/10 00:30:00;3
108;2026/12/11 00:30:00;3
109;2026/12/11 00:50:00;3
110;2026/12/11 07:50:00;3
111;2026/12/14 18:10:00;3
112;2026/12/14 18:30:00;3
113;2026/12/14 18:50:00;3
114;2026/12/14 19:10:00;3
115;2026/12/14 19:30:00;3
116;2026/12/14 19:50:00;3
117;2026/12/15 02:00:00;3
118;2026/12/15 02:20:00;3
119;2026/12/15 02:40:00;3
120;2026/12/15 05:00:00;3
121;2026/12/15 05:20:00;3
122;2026/12/16 00:40:00;3
123;2026/12/17 00:30:00;3
124;2026/12/17 13:40:00;3
125;2026/12/18 00:30:00;3
126;2026/12/18 00:50:00;3
127;2026/12/21 00:30:00;3
128;2026/12/30 00:30:00;3
129;2026/12/30 10:30:00;3
