;date;planning_method
0;2025/03/03 00:20:00;1
1;2025/03/05 00:20:00;1
2;2025/03/05 03:10:00;1
3;2025/03/05 06:30:00;1
4;2025/03/06 03:30:00;1
5;2025/03/10 00:30:00;1
6;2025/03/16 09:50:00;1
7;2025/04/07 00:20:00;1
8;2025/11/02 03:00:00;1
9;2025/11/02 11:10:00;1
10;2025/11/05 00:40:00;1
11;2025/11/09 02:30:00;1
12;2025/11/09 02:40:00;1
13;2025/11/09 04:10:00;1
14;2025/11/11 08:00:00;1
15;2025/11/18 09:20:00;1
16;2025/11/19 00:40:00;1
17;2025/11/19 00:50:00;1
18;2025/11/19 01:00:00;1
19;2025/11/19 04:50:00;1
20;2025/11/20 01:20:00;1
21;2025/11/20 05:10:00;1
22;2025/11/21 01:40:00;1
23;2025/11/24 08:50:00;1
24;2025/11/24 21:00:00;1
25;2025/11/25 03:30:00;1
26;2025/11/27 13:20:00;1
27;2025/11/27 14:00:00;1
28;2025/12/02 02:20:00;1
29;2025/12/04 02:10:00;1
30;2025/12/08 00:30:00;1
31;2025/12/09 03:30:00;1
32;2025/12/10 01:10:00;1
33;2025/12/16 00:30:00;1
34;2025/12/22 01:20:00;1
35;2025/12/23 19:40:00;1
36;2025/12/24 06:00:00;1
37;2026/01/02 01:50:00;1
38;2026/01/02 02:00:00;1
39;2026/02/05 02:10:00;1
40;2026/02/08 00:40:00;1
41;2026/02/10 16:30:00;1
42;2026/03/05 00:40:00;1
43;2026/03/05 00:50:00;1
44;2026/05/19 02:40:00;1
45;2026/10/12 16:30:00;1
46;2026/10/15 10:20:00;1
47;2026/10/29 12:00:00;1
48;2026/11/02 01:40:00;1
49;2026/11/03 02:00:00;1
50;2026/11/04 00:40:00;1
51;2026/11/04 02:20:00;1
52;2026/11/05 02:40:00;1
53;2026/11/05 09:30:00;1
54;2026/11/09 06:00:00;1
55;2026/11/10 17:30:00;1
56;2026/11/11 09:40:00;1
57;2026/11/11 18:30:00;1
58;2026/11/12 06:10:00;1
59;2026/11/16 00:40:00;1
60;2026/11/24 00:30:00;1
61;2026/11/24 00:40:00;1
62;2026/11/25 00:50:00;1
63;2026/11/25 22:40:00;1
64;2026/11/26 08:50:00;1
65;2026/11/27 16:10:00;1
66;2026/12/01 00:30:00;1
67;2026/12/01 00:40:00;1
68;2026/12/02 01:00:00;1
69;2026/12/02 04:10:00;1
70;2026/12/03 13:00:00;1
71;2026/12/11 00:30:00;1
72;2026/12/17 12:10:00;1
73;2026/12/19 00:30:00;1
74;2026/12/29 06:20:00;1
