;date;planning_method
0;2025/02/10 00:30:00;3
1;2025/03/05 01:00:00;3
2;2025/03/05 01:10:00;3
3;2025/03/05 01:20:00;3
4;2025/03/05 01:30:00;3
5;2025/03/05 01:40:00;3
6;2025/03/05 02:00:00;3
7;2025/03/23 04:30:00;3
8;2025/03/24 08:40:00;3
9;2025/03/25 03:10:00;3
10;2025/03/25 03:30:00;3
11;2025/04/05 10:40:00;3
12;2025/04/07 00:30:00;3
13;2025/04/07 00:50:00;3
14;2025/04/21 00:30:00;3
15;2025/05/11 06:30:00;3
16;2025/05/11 06:50:00;3
17;2025/05/12 00:50:00;3
18;2025/05/13 00:30:00;3
19;2025/05/27 10:40:00;3
20;2025/05/27 11:00:00;3
21;2025/05/27 11:20:00;3
22;2025/09/29 00:40:00;3
23;2025/09/30 14:00:00;3
24;2025/09/30 17:50:00;3
25;2025/10/01 00:20:00;3
26;2025/10/07 13:00:00;3
27;2025/10/12 00:50:00;3
28;2025/10/29 11:20:00;3
29;2025/11/04 00:30:00;3
30;2025/11/04 00:40:00;3
31;2025/11/04 01:10:00;3
32;2025/11/05 17:20:00;3
33;2025/11/05 17:40:00;3
34;2025/11/05 18:00:00;3
35;2025/11/07 01:30:00;3
36;2025/11/09 01:00:00;3
37;2025/11/09 14:40:00;3
38;2025/11/11 00:40:00;3
39;2025/11/12 08:00:00;3
40;2025/11/12 08:20:00;3
41;2025/11/12 08:40:00;3
42;2025/11/13 10:50:00;3
43;2025/11/18 00:30:00;3
44;2025/11/18 00:40:00;3
45;2025/11/18 00:50:00;3
46;2025/11/18 09:50:00;3
47;2025/11/18 10:20:00;3
48;2025/11/18 10:40:00;3
49;2025/11/18 11:00:00;3
50;2025/11/18 11:20:00;3
51;2025/11/23 06:00:00;3
52;2025/11/23 06:20:00;3
53;2025/11/24 00:30:00;3
54;2025/11/26 20:10:00;3
55;2025/11/26 20:30:00;3
56;2025/11/27 22:20:00;3
57;2025/11/27 22:40:00;3
58;2025/11/28 00:50:00;3
59;2025/11/28 01:10:00;3
60;2025/11/28 01:30:00;3
61;2025/12/03 00:30:00;3
62;2025/12/04 00:30:00;3
63;2025/12/10 00:30:00;3
64;2025/12/10 05:40:00;3
65;2025/12/15 04:40:00;3
66;2025/12/17 00:30:00;3
67;2025/12/17 00:50:00;3
68;2025/12/17 01:00:00;3
69;2025/12/21 06:10:00;3
70;2025/12/24 14:30:00;3
71;2025/12/28 05:10:00;3
72;2025/12/30 00:30:00;3
73;2025/12/30 00:50:00;3
74;2026/01/02 14:20:00;3
75;2026/01/02 14:40:00;3
76;2026/01/07 00:30:00;3
77;2026/02/22 03:30:00;3
78;2026/03/01 00:30:00;3
79;2026/03/05 09:50:00;3
80;2026/03/05 10:10:00;3
81;2026/03/18 16:00:00;3
82;2026/03/18 16:20:00;3
83;2026/03/25 00:30:00;3
84;2026/03/25 01:00:00;3
85;2026/03/26 00:30:00;3
86;2026/03/26 00:40:00;3
87;2026/04/16 08:50:00;3
88;2026/04/23 00:50:00;3
89;2026/04/23 01:10:00;3
90;2026/05/05 00:50:00;3
91;2026/08/05 15:10:00;3
92;2026/09/03 00:30:00;3
93;2026/09/11 09:20:00;3
94;2026/11/01 00:30:00;3
95;2026/11/02 00:30:00;3
96;2026/11/04 08:00:00;3
97;2026/11/05 00:30:00;3
98;2026/11/05 00:40:00;3
99;2026/11/09 01:10:00;3
100;2026/11/09 01:20:00;3
101;2026/11/10 12:30:00;3
102;2026/11/10 12:50:00;3
103;2026/11/11 00:20:00;3
104;2026/11/11 08:30:00;3
105;2026/11/11 15:30:00;3
106;2026/11/11 15:50:00;3
107;2026/11/11 16:10:00;3
108;2026/11/11 16:30:00;3
109;2026/11/11 16:50:00;3
110;2026/11/11 17:10:00;3
111;2026/11/11 17:30:00;3
112;2026/11/11 17:50:00;3
113;2026/11/18 00:50:00;3
114;2026/11/19 02:30:00;3
115;2026/11/19 07:30:00;3
116;2026/11/21 01:10:00;3
117;2026/11/22 19:30:00;3
118;2026/11/22 19:50:00;3
119;2026/11/23 20:20:00;3
120;2026/11/23 20:40:00;3
121;2026/11/24 00:30:00;3
122;2026/11/24 00:40:00;3
123;2026/11/24 12:50:00;3
124;2026/11/24 13:30:00;3
125;2026/11/25 00:50:00;3
126;2026/11/28 00:50:00;3
127;2026/11/28 01:10:00;3
128;2026/11/28 01:30:00;3
129;2026/11/29 01:00:00;3
130;2026/11/29 01:20:00;3
131;2026/11/29 01:40:00;3
132;2026/11/29 02:00:00;3
133;2026/11/29 02:20:00;3
134;2026/11/29 02:40:00;3
135;2026/11/30 00:20:00;3
136;2026/11/30 00:30:00;3
