;date;planning_method
0;2025/02/19 00:50:00;1
1;2025/03/02 00:00:00;1
2;2025/03/02 01:40:00;1
3;2025/03/03 05:50:00;1
4;2025/03/04 16:10:00;1
5;2025/03/05 00:20:00;1
6;2025/03/06 00:40:00;1
7;2025/03/10 02:40:00;1
8;2025/03/17 04:30:00;1
9;2025/03/19 19:40:00;1
10;2025/03/20 20:00:00;1
11;2025/04/20 10:50:00;1
12;2025/05/04 02:50:00;1
13;2025/05/05 00:30:00;1
14;2025/05/07 14:20:00;1
15;2025/05/18 05:10:00;1
16;2025/05/19 07:20:00;1
17;2025/05/20 05:40:00;1
18;2025/05/21 00:30:00;1
19;2025/05/21 00:40:00;1
20;2025/05/21 05:40:00;1
21;2025/05/21 06:00:00;1
22;2025/05/22 00:30:00;1
23;2025/05/22 01:00:00;1
24;2025/05/23 00:50:00;1
25;2025/06/22 00:40:00;1
26;2025/07/20 00:30:00;1
27;2025/07/27 00:20:00;1
28;2025/08/03 20:10:00;1
29;2025/09/15 00:50:00;1
30;2025/10/02 00:30:00;1
31;2025/11/01 00:30:00;1
32;2025/11/04 21:40:00;1
33;2025/11/05 00:30:00;1
34;2025/11/06 00:30:00;1
35;2025/11/16 08:40:00;1
36;2025/11/24 00:40:00;1
37;2025/11/24 06:40:00;1
38;2025/11/26 12:00:00;1
39;2025/11/26 19:20:00;1
40;2025/11/27 10:40:00;1
41;2025/11/27 12:20:00;1
42;2025/11/27 12:30:00;1
43;2025/12/24 04:40:00;1
44;2025/12/28 09:20:00;1
45;2026/01/28 00:20:00;1
46;2026/02/12 00:50:00;1
47;2026/02/16 06:10:00;1
48;2026/03/18 07:10:00;1
49;2026/05/11 11:30:00;1
50;2026/05/12 11:50:00;1
51;2026/05/15 00:30:00;1
52;2026/05/16 00:50:00;1
53;2026/05/21 04:10:00;1
54;2026/06/02 00:20:00;1
55;2026/06/18 00:30:00;1
56;2026/10/01 00:20:00;1
57;2026/10/08 00:30:00;1
58;2026/11/02 04:50:00;1
59;2026/11/09 06:10:00;1
60;2026/11/09 07:50:00;1
61;2026/11/10 06:30:00;1
62;2026/11/11 00:50:00;1
63;2026/11/24 08:00:00;1
64;2026/11/26 20:00:00;1
65;2026/11/27 00:30:00;1
66;2026/11/28 00:50:00;1
67;2026/12/01 09:50:00;1
68;2026/12/02 00:40:00;1
69;2026/12/03 00:30:00;1
70;2026/12/03 01:00:00;1
71;2026/12/04 00:50:00;1
72;2026/12/04 01:20:00;1
73;2026/12/07 00:40:00;1
74;2026/12/08 01:00:00;1
75;2026/12/10 00:40:00;1
76;2026/12/10 00:50:00;1
77;2026/12/17 07:30:00;1
78;2026/12/28 00:50:00;1
79;2026/12/29 14:00:00;1
80;2026/12/30 12:00:00;1
81;2026/12/30 14:20:00;1
82;2026/12/31 12:20:00;1
83;2026/12/31 14:40:00;1
